customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8270-D960,Male,0,No,Yes,28,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),52.522006017033156,1467.4148504373659,No
6390-C171,Female,0,No,No,13,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,68.908342422846,884.0519997396373,Yes
6734-B566,Male,0,No,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,58.829506281782145,3939.042869827479,No
5426-C187,Female,1,No,No,70,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,26.048222434211116,1836.2727217631236,No
9322-B408,Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),58.949469522487675,709.6669635291316,Yes
1769-D591,Female,0,No,No,16,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),62.851606092055015,1011.8977056119454,No
7949-B291,Female,0,No,No,28,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),35.676230921597174,1009.6244146908776,No
6051-A260,Male,0,No,Yes,72,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),107.02291010718464,7709.516489907585,No
5555-B121,Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,47.63991559293096,43.95711386193146,Yes
7396-D956,Male,0,Yes,No,61,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,94.48733004806333,5764.730976945303,No
9666-C610,Female,0,Yes,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.91510662556599,481.6542158963247,No
8849-D575,Female,0,Yes,No,55,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.27389891164402,1170.6365886898188,Yes
3747-D882,Female,0,No,Yes,51,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,118.29630778784016,6034.33136485878,No
1189-B786,Female,1,Yes,Yes,24,Yes,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),30.613336862158686,747.891528444716,No
4005-C975,Female,0,Yes,No,61,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,95.21882832165632,5805.106413647731,No
8734-D931,Male,0,Yes,No,16,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,79.00393654338592,1260.8201595445857,Yes
2528-C584,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,63.771762530627896,2408.170450778222,No
4890-C120,Female,0,No,Yes,9,Yes,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),21.960529110000078,204.12956671821962,No
6393-D700,Male,1,Yes,Yes,58,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,51.27718419673083,2959.3838998624374,No
9433-B876,Male,0,No,Yes,24,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,108.70910677155378,2604.040040877127,Yes
8513-A997,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),109.21783251382274,2941.7793470697047,No
7235-C554,Female,0,No,Yes,60,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),78.51970730935824,4720.0893326025825,No
1775-C134,Female,0,Yes,No,57,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,76.00482599515271,4337.1544822196265,No
4152-D661,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),61.0226285727964,2631.050395939986,No
4943-D101,Male,0,No,No,22,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,96.19427951759518,2125.730123010352,No
2021-B665,Male,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),106.98594644132775,1705.3804247453174,No
4843-B576,Male,0,No,No,37,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,91.36451146586114,3371.809933135389,No
7873-D261,Male,0,No,Yes,29,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),71.04123734868962,2043.3575946403869,No
5297-B369,Female,1,Yes,Yes,18,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),82.02665561815485,1477.7554644251536,No
8629-C351,Female,1,Yes,Yes,31,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,40.33393855155909,1242.5271082998677,Yes
2016-B395,Female,0,No,No,19,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),117.86846977964996,2244.012999984957,No
8892-D848,Female,0,No,Yes,63,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,112.3047634297725,7086.804094559895,No
9529-C152,Male,0,No,No,35,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,114.39183082078789,4013.015753121199,No
5887-B316,Male,0,Yes,No,64,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,35.01807294321705,2242.3653396485074,No
5859-D479,Female,1,Yes,No,42,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),83.85455674845161,3522.671130698475,No
9684-A256,Male,0,No,Yes,25,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Electronic check,84.21250978408874,2105.2204342703976,No
3062-A164,Male,0,No,Yes,6,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),53.937180775900835,344.871699631406,No
9006-A443,Female,0,No,Yes,33,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,105.20060504711472,3465.7962972860564,No
3027-D571,Male,0,No,Yes,35,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,96.87530910665805,3391.427900183901,No
6258-C692,Female,0,Yes,No,5,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),90.57142224210982,451.04715868625567,No
1391-C518,Male,0,No,No,36,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),21.15344180956436,753.6925080923658,No
6892-B330,Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,117.8015520882949,7182.09653494463,No
7184-D234,Female,0,Yes,No,72,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),90.44639001649934,6512.419302395483,No
9392-D879,Female,0,Yes,No,59,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,115.67903892971329,6813.215595338296,No
4104-D602,Female,0,No,Yes,63,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,26.971371682695302,1715.6821683466883,No
3454-B827,Male,0,Yes,Yes,49,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,88.03211939042258,4320.836141487718,No
9996-C783,Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),93.10343530906871,4759.194820171599,No
